>>lucas | Wed 19 Feb, 13:11:31<->Wed 19 Feb, 13:13:14 | total time:1.72 mins | 
 | Avg. Speed: 0.86 Min/Ann | Conformity: 0.22 | #Ann:2

>>lucas | Wed 19 Feb, 13:39:46<->Wed 19 Feb, 13:39:46 | total time:0.00 mins | 
 | Avg. Speed: 0.00 Min/Ann | Conformity: 0.78 | #Ann:1

>>lucas | Wed 19 Feb, 14:18:27<->Wed 19 Feb, 14:19:38 | total time:1.18 mins | 
 | Avg. Speed: 0.59 Min/Ann | Conformity: 0.22 | #Ann:2

>>lucas | Wed 19 Feb, 17:52:40<->Wed 19 Feb, 18:03:46 | total time:11.10 mins | 
 | Avg. Speed: 0.53 Min/Ann | Conformity: 0.17 | #Ann:21

>>lucas | Sun 23 Feb, 20:30:57<->Sun 23 Feb, 20:33:05 | total time:2.13 mins | 
 | Avg. Speed: 0.27 Min/Ann | Conformity: 0.40 | #Ann:8

>>lucas | Mon 24 Feb, 16:31:05<->Mon 24 Feb, 16:59:08 | total time:28.05 mins | 
 | Avg. Speed: 0.90 Min/Ann | Conformity: 0.49 | #Ann:31

>>lucas | Mon 24 Feb, 17:33:18<->Mon 24 Feb, 17:56:02 | total time:22.73 mins | 
 | Avg. Speed: 1.08 Min/Ann | Conformity: 0.63 | #Ann:21

>>lucas | Wed 26 Feb, 16:54:49<->Wed 26 Feb, 17:05:32 | total time:10.72 mins | 
 | Avg. Speed: 0.71 Min/Ann | Conformity: 0.58 | #Ann:15

>>lucas | Wed 26 Feb, 17:32:49<->Wed 26 Feb, 18:02:58 | total time:30.15 mins | 
 | Avg. Speed: 0.64 Min/Ann | Conformity: 0.56 | #Ann:47

>>lucas | Thu 27 Feb, 12:53:17<->Thu 27 Feb, 12:55:48 | total time:2.52 mins | 
 | Avg. Speed: 0.50 Min/Ann | Conformity: 0.58 | #Ann:5

>>lucas | Thu 27 Feb, 17:26:42<->Thu 27 Feb, 17:28:32 | total time:1.83 mins | 
 | Avg. Speed: 0.46 Min/Ann | Conformity: 0.78 | #Ann:4

>>lucas | Sun 01 Mar, 18:07:49<->Sun 01 Mar, 18:13:05 | total time:5.27 mins | 
 | Avg. Speed: 0.28 Min/Ann | Conformity: 0.72 | #Ann:19

>>lucas | Mon 02 Mar, 14:42:41<->Mon 02 Mar, 14:45:14 | total time:2.55 mins | 
 | Avg. Speed: 0.42 Min/Ann | Conformity: 0.44 | #Ann:6

>>lucas | Mon 02 Mar, 15:19:15<->Mon 02 Mar, 15:25:11 | total time:5.93 mins | 
 | Avg. Speed: 0.54 Min/Ann | Conformity: 0.41 | #Ann:11

>>lucas | Tue 03 Mar, 15:13:50<->Tue 03 Mar, 15:13:50 | total time:0.00 mins | 
 | Avg. Speed: 0.00 Min/Ann | Conformity: 0.78 | #Ann:1

>>lucas | Tue 03 Mar, 15:44:58<->Tue 03 Mar, 15:51:40 | total time:6.70 mins | 
 | Avg. Speed: 0.84 Min/Ann | Conformity: 0.65 | #Ann:8

>>lucas | Tue 03 Mar, 16:27:25<->Tue 03 Mar, 16:28:40 | total time:1.25 mins | 
 | Avg. Speed: 0.18 Min/Ann | Conformity: 0.78 | #Ann:7

>>lucas | Tue 03 Mar, 17:01:58<->Tue 03 Mar, 17:14:50 | total time:12.87 mins | 
 | Avg. Speed: 1.61 Min/Ann | Conformity: 0.40 | #Ann:8

>>lucas | Tue 03 Mar, 18:13:14<->Tue 03 Mar, 18:13:14 | total time:0.00 mins | 
 | Avg. Speed: 0.00 Min/Ann | Conformity: 0.78 | #Ann:1

>>lucas | Wed 04 Mar, 10:46:42<->Wed 04 Mar, 10:46:51 | total time:0.15 mins | 
 | Avg. Speed: 0.07 Min/Ann | Conformity: 0.78 | #Ann:2

>>lucas | Wed 04 Mar, 11:04:08<->Wed 04 Mar, 11:04:47 | total time:0.65 mins | 
 | Avg. Speed: 0.33 Min/Ann | Conformity: 0.78 | #Ann:2

>>lucas | Wed 04 Mar, 11:24:20<->Wed 04 Mar, 11:24:20 | total time:0.00 mins | 
 | Avg. Speed: 0.00 Min/Ann | Conformity: 0.22 | #Ann:1

>>lucas | Wed 04 Mar, 12:01:37<->Wed 04 Mar, 12:16:15 | total time:14.63 mins | 
 | Avg. Speed: 0.86 Min/Ann | Conformity: 0.01 | #Ann:17

>>lucas | Wed 04 Mar, 13:01:02<->Wed 04 Mar, 13:01:55 | total time:0.88 mins | 
 | Avg. Speed: 0.22 Min/Ann | Conformity: 0.03 | #Ann:4

>>lucas | Wed 04 Mar, 13:54:12<->Wed 04 Mar, 13:54:12 | total time:0.00 mins | 
 | Avg. Speed: 0.00 Min/Ann | Conformity: 0.22 | #Ann:1

>>lucas | Wed 04 Mar, 14:39:21<->Wed 04 Mar, 14:52:40 | total time:13.32 mins | 
 | Avg. Speed: 1.02 Min/Ann | Conformity: 0.22 | #Ann:13

>>lucas | Wed 04 Mar, 17:13:31<->Wed 04 Mar, 17:13:31 | total time:0.00 mins | 
 | Avg. Speed: 0.00 Min/Ann | Conformity: 0.22 | #Ann:1

>>lucas | Wed 04 Mar, 17:28:26<->Wed 04 Mar, 17:50:08 | total time:21.70 mins | 
 | Avg. Speed: 0.47 Min/Ann | Conformity: 0.18 | #Ann:46

>>lucas | Wed 04 Mar, 18:27:19<->Wed 04 Mar, 18:29:57 | total time:2.63 mins | 
 | Avg. Speed: 0.29 Min/Ann | Conformity: 0.22 | #Ann:9

>>lucas | Wed 04 Mar, 18:50:29<->Wed 04 Mar, 19:00:47 | total time:10.30 mins | 
 | Avg. Speed: 0.64 Min/Ann | Conformity: 0.10 | #Ann:16

>>lucas | Thu 05 Mar, 14:44:05<->Thu 05 Mar, 14:44:19 | total time:0.23 mins | 
 | Avg. Speed: 0.06 Min/Ann | Conformity: 0.22 | #Ann:4

>>lucas | Fri 06 Mar, 13:49:47<->Fri 06 Mar, 14:57:33 | total time:67.77 mins | 
 | Avg. Speed: 0.42 Min/Ann | Conformity: 0.16 | #Ann:161

>>lucas | Fri 06 Mar, 15:21:54<->Fri 06 Mar, 15:23:28 | total time:1.57 mins | 
 | Avg. Speed: 0.22 Min/Ann | Conformity: 0.22 | #Ann:7

>>lucas | Fri 06 Mar, 16:21:45<->Fri 06 Mar, 16:29:50 | total time:8.08 mins | 
 | Avg. Speed: 0.51 Min/Ann | Conformity: 0.04 | #Ann:16

>>lucas | Sun 08 Mar, 14:02:30<->Sun 08 Mar, 14:02:30 | total time:0.00 mins | 
 | Avg. Speed: 0.00 Min/Ann | Conformity: 0.78 | #Ann:1

>>lucas | Tue 10 Mar, 15:44:57<->Tue 10 Mar, 16:15:47 | total time:30.83 mins | 
 | Avg. Speed: 0.55 Min/Ann | Conformity: 0.44 | #Ann:56

>>lucas | Tue 10 Mar, 17:02:16<->Tue 10 Mar, 17:08:19 | total time:6.05 mins | 
 | Avg. Speed: 0.76 Min/Ann | Conformity: 0.22 | #Ann:8

>>lucas | Tue 10 Mar, 17:20:35<->Tue 10 Mar, 17:28:05 | total time:7.50 mins | 
 | Avg. Speed: 1.07 Min/Ann | Conformity: 0.22 | #Ann:7

>>lucas | Tue 10 Mar, 17:41:29<->Tue 10 Mar, 17:43:58 | total time:2.48 mins | 
 | Avg. Speed: 0.31 Min/Ann | Conformity: 0.10 | #Ann:8

>>lucas | Tue 10 Mar, 17:55:58<->Tue 10 Mar, 18:04:38 | total time:8.67 mins | 
 | Avg. Speed: 0.29 Min/Ann | Conformity: 0.09 | #Ann:30

>>lucas | Wed 11 Mar, 14:44:48<->Wed 11 Mar, 14:47:12 | total time:2.40 mins | 
 | Avg. Speed: 0.30 Min/Ann | Conformity: 0.10 | #Ann:8

>>lucas | Wed 11 Mar, 15:08:23<->Wed 11 Mar, 15:08:23 | total time:0.00 mins | 
